"INDICE MONIA (Moroccan Overnight Index Average)"
"En millions de dirhams"
"Indice MONIA";"Volume JJ";"Date de référence";"Date de publication"
"1,457 %";10565;04/07/2022;05/07/2022
"1,464 %";9683;01/07/2022;04/07/2022
"1,467 %";12105;30/06/2022;01/07/2022
"1,445 %";11766;29/06/2022;30/06/2022
"1,433 %";11593;28/06/2022;29/06/2022
"1,436 %";11538;27/06/2022;28/06/2022
"1,437 %";9434;24/06/2022;27/06/2022
"1,432 %";10487;23/06/2022;24/06/2022
"1,419 %";9449;22/06/2022;23/06/2022
"1,428 %";9169;21/06/2022;22/06/2022
"1,424 %";8554;20/06/2022;21/06/2022
"1,444 %";9291;17/06/2022;20/06/2022
"1,438 %";10483;16/06/2022;17/06/2022
"1,460 %";12784;15/06/2022;16/06/2022
